example_id                                                         | status  | run_time        |
./spec/controllers/parser_templates_controller_spec.rb[1:2:1]      | passed  | 0.06231 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:3:1]      | passed  | 0.0594 seconds  |
./spec/controllers/parser_templates_controller_spec.rb[1:4:1]      | passed  | 0.01997 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:4:2]      | passed  | 0.02077 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:4:3:1]    | passed  | 0.04362 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:5:1]      | passed  | 0.03619 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:5:2]      | passed  | 0.02266 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:5:3]      | passed  | 0.04561 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:5:4:1]    | passed  | 0.04606 seconds |
./spec/controllers/parser_templates_controller_spec.rb[1:6:1]      | passed  | 0.02376 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:1:1]       | passed  | 0.08798 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:2:1]       | passed  | 0.06736 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:2:2]       | passed  | 0.06091 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:2:3]       | passed  | 0.06528 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:3:1]       | passed  | 0.05332 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:3:2]       | passed  | 0.05702 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:3:3:1]     | passed  | 0.03921 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:4:1]       | passed  | 0.09473 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:5:1]       | passed  | 0.09428 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:6:1]       | passed  | 0.03276 seconds |
./spec/controllers/parser_versions_controller_spec.rb[1:7:1]       | passed  | 0.03172 seconds |
./spec/controllers/parsers_controller_spec.rb[1:1:1]               | passed  | 0.07546 seconds |
./spec/controllers/parsers_controller_spec.rb[1:2:1]               | passed  | 0.06097 seconds |
./spec/controllers/parsers_controller_spec.rb[1:3:1]               | passed  | 0.07638 seconds |
./spec/controllers/parsers_controller_spec.rb[1:4:1]               | passed  | 0.06682 seconds |
./spec/controllers/parsers_controller_spec.rb[1:4:2]               | passed  | 0.1436 seconds  |
./spec/controllers/parsers_controller_spec.rb[1:5:1]               | passed  | 0.07764 seconds |
./spec/controllers/parsers_controller_spec.rb[1:5:2]               | passed  | 0.12563 seconds |
./spec/controllers/parsers_controller_spec.rb[1:5:3:1]             | passed  | 0.05882 seconds |
./spec/controllers/parsers_controller_spec.rb[1:5:4:1]             | passed  | 0.10509 seconds |
./spec/controllers/parsers_controller_spec.rb[1:6:1]               | passed  | 0.07309 seconds |
